countr	registry	year	latitude	longitude
17775	IRCT  	NULL	 32.4279 	 53.688
81631	EUCTRN	NULL	 46.2276 	  2.21375
   19	CUBA  	2008	 21.5218 	-77.7812
   30	CUBA  	2009	 21.5218 	-77.7812
   49	CUBA  	2010	 21.5218 	-77.7812
   26	CUBA  	2011	 21.5218 	-77.7812
   13	CUBA  	2012	 21.5218 	-77.7812
   38	CUBA  	2013	 21.5218 	-77.7812
   15	CUBA  	2014	 21.5218 	-77.7812
   17	CUBA  	2015	 21.5218 	-77.7812
   21	CUBA  	2016	 21.5218 	-77.7812
   35	CUBA  	2017	 21.5218 	-77.7812
   24	CUBA  	2018	 21.5218 	-77.7812
    1	CUBA  	NULL	 21.5218 	-77.7812
   12	ACTRN 	1994	-25.2744 	133.775
    1	ACTRN 	1995	-25.2744 	133.775
    2	ACTRN 	1996	-25.2744 	133.775
    2	ACTRN 	1998	-25.2744 	133.775
    2	ACTRN 	1999	-25.2744 	133.775
    3	ACTRN 	2000	-25.2744 	133.775
    9	ACTRN 	2001	-25.2744 	133.775
    1	ACTRN 	2002	-25.2744 	133.775
   18	ACTRN 	2003	-25.2744 	133.775
    9	ACTRN 	2004	-25.2744 	133.775
  777	ACTRN 	2005	-25.2744 	133.775
  489	ACTRN 	2006	-25.2744 	133.775
  626	ACTRN 	2007	-25.2744 	133.775
  641	ACTRN 	2008	-25.2744 	133.775
 1075	ACTRN 	2009	-25.2744 	133.775
 1099	ACTRN 	2010	-25.2744 	133.775
 1287	ACTRN 	2011	-25.2744 	133.775
 1311	ACTRN 	2012	-25.2744 	133.775
 1376	ACTRN 	2013	-25.2744 	133.775
 1333	ACTRN 	2014	-25.2744 	133.775
 1369	ACTRN 	2015	-25.2744 	133.775
 1731	ACTRN 	2016	-25.2744 	133.775
 1649	ACTRN 	2017	-25.2744 	133.775
 1099	ACTRN 	2018	-25.2744 	133.775
   10	CTRI  	2007	 20.5937 	 78.9629
  130	CTRI  	2008	 20.5937 	 78.9629
  545	CTRI  	2009	 20.5937 	 78.9629
  806	CTRI  	2010	 20.5937 	 78.9629
  822	CTRI  	2011	 20.5937 	 78.9629
  960	CTRI  	2012	 20.5937 	 78.9629
  992	CTRI  	2013	 20.5937 	 78.9629
 1077	CTRI  	2014	 20.5937 	 78.9629
 1130	CTRI  	2015	 20.5937 	 78.9629
 1147	CTRI  	2016	 20.5937 	 78.9629
 3433	CTRI  	2017	 20.5937 	 78.9629
 4228	CTRI  	2018	 20.5937 	 78.9629
 3645	CT    	1999	 37.0902 	-95.7129
 1980	CT    	2000	 37.0902 	-95.7129
 1346	CT    	2001	 37.0902 	-95.7129
 1588	CT    	2002	 37.0902 	-95.7129
 1662	CT    	2003	 37.0902 	-95.7129
 1787	CT    	2004	 37.0902 	-95.7129
12895	CT    	2005	 37.0902 	-95.7129
10926	CT    	2006	 37.0902 	-95.7129
13385	CT    	2007	 37.0902 	-95.7129
17005	CT    	2008	 37.0902 	-95.7129
17147	CT    	2009	 37.0902 	-95.7129
17744	CT    	2010	 37.0902 	-95.7129
18247	CT    	2011	 37.0902 	-95.7129
19663	CT    	2012	 37.0902 	-95.7129
20530	CT    	2013	 37.0902 	-95.7129
23557	CT    	2014	 37.0902 	-95.7129
24318	CT    	2015	 37.0902 	-95.7129
27871	CT    	2016	 37.0902 	-95.7129
29140	CT    	2017	 37.0902 	-95.7129
16365	CT    	2018	 37.0902 	-95.7129
 1759	PERCTR	NULL	 -9.18997	-75.0152
   22	ChiCTR	1990	 35.8617 	104.195
    1	ChiCTR	2003	 35.8617 	104.195
   45	ChiCTR	2005	 35.8617 	104.195
   21	ChiCTR	2006	 35.8617 	104.195
   59	ChiCTR	2007	 35.8617 	104.195
  269	ChiCTR	2008	 35.8617 	104.195
  323	ChiCTR	2009	 35.8617 	104.195
  427	ChiCTR	2010	 35.8617 	104.195
  678	ChiCTR	2011	 35.8617 	104.195
 1103	ChiCTR	2012	 35.8617 	104.195
 1085	ChiCTR	2013	 35.8617 	104.195
 1584	ChiCTR	2014	 35.8617 	104.195
 1758	ChiCTR	2015	 35.8617 	104.195
 2485	ChiCTR	2016	 35.8617 	104.195
 3814	ChiCTR	2017	 35.8617 	104.195
 2717	ChiCTR	2018	 35.8617 	104.195
  585	ChiCTR	NULL	 35.8617 	104.195
